type	t_nm	u_nm	value
0	-0.32	-0.32	2.823227114e-09
0	-0.24	-0.32	4.074969313e-09
0	-0.16	-0.32	6.575284793e-09
0	-0.08	-0.32	1.123183863e-08
0	0	-0.32	1.470095238e-08
0	0.08	-0.32	1.879769675e-08
0	0.16	-0.32	2.690625022e-08
0	0.24	-0.32	3.970830355e-08
0	0.32	-0.32	5.036939418e-08
0	-0.32	-0.24	7.185005795e-09
0	-0.24	-0.24	9.2116817e-09
0	-0.16	-0.24	1.579224703e-08
0	-0.08	-0.24	2.395600786e-08
0	0	-0.24	3.252494689e-08
0	0.08	-0.24	3.907530734e-08
0	0.16	-0.24	5.206722278e-08
0	0.24	-0.24	7.535753872e-08
0	0.32	-0.24	1.012091468e-07
0	-0.32	-0.16	1.60172193e-08
0	-0.24	-0.16	2.01080512e-08
0	-0.16	-0.16	3.107679316e-08
0	-0.08	-0.16	4.701850789e-08
0	0	-0.16	6.040139822e-08
0	0.08	-0.16	6.849302503e-08
0	0.16	-0.16	8.669951234e-08
0	0.24	-0.16	1.257912795e-07
0	0.32	-0.16	1.766784745e-07
0	-0.32	-0.08	2.781009048e-08
0	-0.24	-0.08	3.421946783e-08
0	-0.16	-0.08	4.823834168e-08
0	-0.08	-0.08	7.031746088e-08
0	0	-0.08	8.583732294e-08
0	0.08	-0.08	9.840119008e-08
0	0.16	-0.08	1.18951373e-07
0	0.24	-0.08	1.689364863e-07
0	0.32	-0.08	2.386416788e-07
0	-0.32	0	3.557379483e-08
0	-0.24	0	4.361178749e-08
0	-0.16	0	6.028221168e-08
0	-0.08	0	8.189944297e-08
0	0	0	9.835687294e-08
0	0.08	0	1.100225983e-07
0	0.16	0	1.283676268e-07
0	0.24	0	1.730306085e-07
0	0.32	0	2.43784969e-07
0	-0.32	0.08	3.431298641e-08
0	-0.24	0.08	4.289917671e-08
0	-0.16	0.08	6.062459795e-08
0	-0.08	0.08	8.084737797e-08
0	0	0.08	9.283749673e-08
0	0.08	0.08	9.895671037e-08
0	0.16	0.08	1.111290726e-07
0	0.24	0.08	1.442099799e-07
0	0.32	0.08	1.943015718e-07
0	-0.32	0.16	2.605052878e-08
0	-0.24	0.16	3.330204307e-08
0	-0.16	0.16	4.843215516e-08
0	-0.08	0.16	6.467613893e-08
0	0	0.16	7.141097574e-08
0	0.08	0.16	7.37623822e-08
0	0.16	0.16	7.895998014e-08
0	0.24	0.16	9.657392902e-08
0	0.32	0.16	1.233762823e-07
0	-0.32	0.24	1.621061036e-08
0	-0.24	0.24	2.019526331e-08
0	-0.16	0.24	2.891418798e-08
0	-0.08	0.24	3.807455643e-08
0	0	0.24	4.4847494e-08
0	0.08	0.24	4.788449771e-08
0	0.16	0.24	5.179885636e-08
0	0.24	0.24	5.717612187e-08
0	0.32	0.24	6.713859779e-08
0	-0.32	0.32	9.84871022e-09
0	-0.24	0.32	1.024101081e-08
0	-0.16	0.32	1.334954209e-08
0	-0.08	0.32	1.839493153e-08
0	0	0.32	2.365080309e-08
0	0.08	0.32	2.753233822e-08
0	0.16	0.32	2.919553869e-08
0	0.24	0.32	2.953047328e-08
0	0.32	0.32	3.208670221e-08
1	-0.32	-0.32	2.160903702e-07
1	-0.24	-0.32	8.571698877e-08
1	-0.16	-0.32	2.40833011e-08
1	-0.08	-0.32	3.829012029e-09
1	0	-0.32	1.795873628e-09
1	0.08	-0.32	2.670570104e-09
1	0.16	-0.32	2.657277165e-09
1	0.24	-0.32	2.311678485e-09
1	0.32	-0.32	2.869588041e-09
1	-0.32	-0.24	7.016553384e-07
1	-0.24	-0.24	2.694268699e-07
1	-0.16	-0.24	6.293729711e-08
1	-0.08	-0.24	9.919444962e-09
1	0	-0.24	6.07826264e-09
1	0.08	-0.24	8.6425793e-09
1	0.16	-0.24	7.325074012e-09
